request_type,priority,department,amount,status
5,2,0,97287,2
2,0,2,18529,1
0,2,0,193064,1
2,1,0,68808,0
1,1,5,3654,0
4,1,0,1704,0
4,2,4,28785,1
0,0,3,87782,0
5,0,4,21413,0
2,2,5,150690,2
3,0,2,82642,2
3,2,4,142317,1
5,0,5,78245,1
2,1,3,198589,2
4,2,2,13116,0
4,0,2,5883,0
2,0,2,102382,2
4,2,3,16450,0
1,2,5,1393,0
1,1,4,2473,0
4,2,4,20318,1
3,1,4,86618,2
1,1,3,4246,0
4,1,2,20809,1
4,2,0,4902,0
2,0,3,157929,2
3,2,2,13603,0
3,1,5,133427,1
2,1,0,156379,2
5,1,1,88405,2
0,0,3,181440,0
2,2,2,50102,0
5,0,1,42756,0
5,1,5,10484,0
1,1,5,2633,0
1,2,3,1819,0
2,2,5,28970,2
3,0,3,4231,0
2,0,5,178349,2
1,2,1,1798,0
3,0,5,49715,1
5,0,0,84998,1
5,2,2,85680,2
0,1,3,170415,2
5,1,3,101228,2
5,2,0,85693,2
3,1,5,108157,1
3,1,0,69719,1
2,2,4,46015,0
4,2,0,22916,1
1,1,3,4226,0
4,0,4,9835,0
1,2,3,474,0
0,2,3,29025,0
2,2,3,19182,0
5,2,5,119067,2
4,1,0,20303,1
2,2,1,196044,2
4,0,2,19468,0
5,2,3,76989,2
3,2,4,193113,1
3,1,3,166342,1
3,1,4,186077,1
5,2,5,86539,2
4,0,0,27265,1
4,0,1,16297,0
1,2,0,2644,0
5,2,0,89331,2
0,1,4,118620,1
5,0,1,111865,1
0,0,1,20841,1
0,2,5,72971,1
3,2,3,114078,1
2,2,4,29507,0
0,1,1,112656,1
4,2,1,20967,0
0,0,0,100178,1
3,2,2,148207,1
0,1,3,41528,2
2,0,2,133701,2
0,2,1,116849,1
4,0,2,14693,0
2,0,2,171647,2
5,2,0,67236,1
5,1,5,65621,2
2,1,3,121305,2
2,2,2,122266,2
4,0,2,18191,0
3,1,5,85548,1
1,0,0,4253,1
5,0,0,99990,1
2,0,1,80581,1
3,0,0,174247,1
0,2,3,106331,0
5,0,4,84463,1
0,2,1,21279,1
3,0,0,76108,1
0,2,4,64062,1
5,0,3,74225,1
3,1,0,84428,1
1,2,0,4183,0
4,2,2,5795,0
5,1,4,72029,2
5,2,0,58572,2
5,2,5,52058,2
4,1,3,23004,1
5,1,5,48740,0
1,0,1,4390,1
5,1,5,16420,0
3,2,3,195780,1
0,1,1,175081,1
4,2,5,20719,1
0,0,0,132356,1
4,2,1,20791,1
5,2,0,89861,2
4,0,0,2553,0
0,2,4,113025,1
0,0,4,27504,1
5,2,3,117472,2
1,1,5,1004,0
5,0,4,29751,0
2,1,2,80836,0
5,2,4,102176,2
3,2,2,179928,1
4,2,2,14765,0
2,1,0,15350,0
5,1,2,27627,0
1,0,3,119,1
1,1,0,88,0
5,2,2,82845,2
4,2,4,17053,0
2,0,0,40108,1
0,0,2,25168,1
0,2,1,34334,1
1,2,3,2343,0
1,0,4,2708,1
1,1,1,4625,1
3,1,5,149440,1
1,2,0,3011,0
1,0,3,3218,1
1,0,3,1456,1
4,0,2,7259,0
5,1,3,80144,2
2,2,5,161928,2
5,2,5,57110,2
3,0,5,165526,1
0,2,5,20434,1
0,2,5,38824,1
5,1,1,103334,2
3,2,5,130079,1
5,2,4,72917,2
2,0,4,6414,0
1,2,3,4040,0
3,0,5,72976,1
4,0,2,16534,0
0,2,2,13274,1
4,2,1,23002,1
0,1,5,129051,1
1,2,4,540,0
2,2,3,119087,2
5,0,0,101241,1
4,0,5,11218,0
0,1,3,17142,0
2,2,3,94486,0
5,1,1,102822,2
3,2,2,64824,1
2,2,0,18197,0
3,2,4,36929,1
3,2,4,48447,1
1,2,1,3237,0
3,1,4,91323,1
0,0,5,106349,1
1,1,3,3718,0
3,0,0,110868,1
4,0,1,24877,1
5,0,4,53449,1
0,0,3,161741,0
0,1,3,83592,0
4,1,2,19010,0
1,1,1,4904,0
2,1,3,78824,0
1,1,1,167,0
5,1,4,29015,0
5,1,2,106370,0
2,1,1,40819,0
2,2,2,177761,2
3,0,2,90678,1
0,1,4,161345,1
0,1,1,114962,1
4,0,3,5884,0
5,1,5,114223,2
3,1,3,50319,1
3,0,2,79820,1
3,1,3,185467,1
3,2,5,170612,1
2,0,3,31086,1
2,2,1,189177,2
3,1,3,117339,0
2,2,2,197234,2
0,1,1,101483,1
4,2,0,7377,0
1,0,1,3206,1
1,2,4,3823,0
0,2,0,192423,1
4,0,4,9120,0
5,1,2,82765,2
2,0,2,136765,2
2,2,1,88715,0
2,2,3,114543,2
0,0,1,99726,1
1,2,5,4276,0
3,0,0,165707,1
1,0,5,3682,1
2,0,3,45144,1
3,2,3,62386,1
1,0,5,2288,1
5,1,1,15319,0
4,2,0,29457,1
2,2,2,141544,2
1,2,4,74,0
4,0,4,11673,0
5,2,5,93734,2
1,0,3,1615,1
4,1,1,1145,0
5,0,5,49991,0
0,1,4,91072,1
2,0,5,137733,2
0,1,2,84876,1
2,1,1,8765,0
0,0,5,76010,1
1,0,1,3912,1
3,0,4,148537,1
3,2,2,133952,1
1,1,2,3020,0
1,0,5,1106,1
2,2,0,56805,0
2,1,0,32900,0
0,0,4,170943,1
0,0,1,115627,0
2,1,1,22915,0
4,1,1,23108,1
4,1,2,27841,1
5,1,0,9960,0
3,0,5,29492,0
4,2,2,2108,0
4,2,2,10467,0
3,0,4,87279,1
4,2,4,11517,0
3,0,3,62749,1
5,1,3,14544,0
0,0,1,44059,1
4,0,4,4793,0
0,2,2,196429,1
3,2,4,15601,0
1,0,4,3558,1
4,2,5,6793,0
2,2,4,1029,0
1,1,4,2448,0
2,1,4,157307,2
3,0,1,71642,1
0,2,3,139391,0
1,2,0,749,0
5,1,4,85019,2
4,0,1,4389,0
3,1,2,147235,1
4,2,0,10845,0
4,2,5,9802,0
2,0,3,64899,1
5,2,5,74016,2
5,2,1,77210,2
2,0,5,17544,0
1,1,0,2531,0
3,2,1,54009,1
2,1,3,125576,2
4,1,3,15715,1
2,1,4,70143,0
0,0,5,3390,1
0,1,1,125338,1
3,0,3,57233,1
0,0,5,139181,1
1,2,5,2506,0
0,2,1,14686,1
1,1,3,541,0
5,2,4,34126,0
5,0,3,92744,1
0,0,4,173609,1
4,1,1,22189,1
1,1,5,4036,0
5,1,1,22297,0
2,2,4,194189,2
3,2,0,34598,1
2,1,5,71675,0
3,0,4,17540,0
5,0,5,87634,1
4,1,5,20227,2
3,2,3,85806,1
3,2,2,174975,1
5,2,4,86268,2
5,1,3,111561,2
3,1,1,143310,1
0,1,4,132879,1
1,1,4,667,0
2,0,4,145891,2
4,2,1,27552,1
4,0,2,11248,0
2,2,4,197075,2
1,0,4,3317,1
5,0,0,44169,0
4,2,5,18546,2
2,1,0,160727,2
1,2,4,4567,0
1,0,2,4437,1
5,0,2,28778,2
4,2,1,18569,0
5,2,2,94292,2
2,0,1,38876,1
4,2,0,2923,0
0,0,4,25642,1
3,0,4,45898,1
1,2,2,4921,0
2,1,5,70722,1
4,2,4,21970,1
3,0,3,190085,1
5,0,0,87911,2
3,1,2,15797,0
0,1,3,124308,0
1,0,1,3001,1
1,2,3,3177,0
4,0,3,13171,0
5,2,4,43758,0
1,1,1,2593,0
1,2,3,2503,0
0,1,0,1648,1
1,0,4,4127,1
1,2,4,2979,0
0,2,5,166654,1
5,2,3,8686,0
1,2,4,434,0
2,1,3,171420,2
4,0,4,12041,0
4,2,4,8037,0
5,2,4,94402,2
3,2,3,172776,1
2,0,1,120596,2
1,1,5,4396,0
5,0,2,118232,1
2,0,2,39905,1
2,0,1,113549,1
1,1,4,4934,0
0,1,2,42098,1
3,2,5,139396,1
5,1,1,27255,0
4,0,1,16747,0
3,2,2,82071,0
0,0,2,30764,1
1,2,4,2570,0
0,0,3,104146,0
1,0,0,392,1
3,0,5,50569,1
3,0,3,186383,1
5,0,1,111816,1
5,1,0,21790,0
3,2,2,17477,0
2,0,2,89586,1
0,0,3,95612,0
4,1,4,9893,0
5,0,0,113126,1
4,1,5,11100,0
1,1,2,2057,0
4,0,0,10369,0
0,1,5,128095,1
0,0,0,48333,1
4,1,1,15817,2
3,2,3,50554,1
0,2,1,155405,1
5,1,4,112223,2
1,2,3,518,0
0,0,3,63585,0
5,2,4,107247,2
1,0,2,4361,0
0,0,1,100526,1
2,1,5,124141,0
4,0,1,17178,0
2,1,3,127659,2
5,2,4,105203,2
4,0,0,11020,0
3,1,1,79422,1
3,0,3,98422,1
2,1,1,122886,2
0,1,5,20691,1
0,1,5,44400,1
0,2,0,150917,1
2,0,2,64589,1
1,1,2,3302,0
5,1,4,69904,2
3,2,4,32688,1
0,0,4,31907,1
5,2,5,115551,2
5,1,2,117484,2
5,2,3,111489,2
2,2,1,37259,0
1,1,1,3739,0
0,2,5,12652,1
2,0,3,10451,1
1,0,2,4986,1
2,2,3,73285,0
4,1,2,7672,0
4,0,1,16389,1
0,1,4,103305,1
2,1,4,108580,2
0,2,3,11477,0
3,1,0,139161,1
0,2,3,128990,0
0,2,4,67953,1
5,1,3,47406,0
5,2,5,91417,2
5,0,0,18986,0
2,0,4,199683,2
2,1,0,97362,0
2,1,0,166714,2
0,1,2,57671,1
0,2,3,183028,0
0,0,2,89585,1
1,0,3,4483,1
0,1,5,193758,1
0,1,4,148797,1
5,0,1,99744,1
4,1,3,23613,1
4,2,1,27294,1
5,0,1,55180,1
2,1,1,39493,0
1,1,5,1444,0
0,0,5,181114,1
0,1,4,69957,1
3,1,5,10343,0
4,0,2,21182,2
1,2,1,3154,0
3,2,1,190192,1
4,2,4,2483,0
1,2,5,3860,0
1,1,0,4220,0
2,0,0,187425,2
5,1,4,38410,0
3,2,5,59217,1
4,0,3,5225,0
3,2,0,111612,1
5,1,4,74185,2
4,2,1,27143,1
4,0,4,20673,1
3,2,4,111651,1
2,0,4,153471,2
3,0,3,75764,1
2,0,2,44745,1
1,2,5,2172,2
1,0,0,186,1
3,2,3,126593,1
0,1,0,45554,1
4,0,5,10108,0
0,0,2,54430,2
3,0,4,146810,1
2,0,0,17346,1
1,2,3,3912,0
0,2,3,89397,0
4,2,5,5670,0
2,0,0,96300,1
5,2,1,97721,2
3,2,5,75780,1
4,0,3,24228,1
2,2,2,62856,0
4,2,2,6061,0
1,2,5,372,0
3,2,0,76853,1
2,2,3,13509,0
4,2,3,14370,0
2,0,0,86670,1
0,1,4,145233,1
2,0,5,7358,0
1,0,1,4757,1
3,2,0,96914,1
2,1,0,104540,1
3,0,2,83946,1
2,1,4,196440,2
3,0,1,70921,1
1,2,2,3745,0
0,1,5,40498,1
2,2,4,126331,2
1,0,2,867,1
0,0,2,63147,1
0,0,2,143969,1
4,0,0,9346,0
0,2,3,17719,0
4,2,0,8575,0
0,2,2,146754,1
2,2,3,134853,2
3,0,0,55531,1
0,2,4,76315,1
1,1,0,3602,0
2,2,2,86098,0
4,0,2,4494,0
3,0,3,170849,1
1,1,5,4209,0
1,1,2,915,0
4,2,5,8531,0
0,2,3,23575,0
2,0,5,153137,2
4,1,4,25240,1
3,0,3,144528,1
0,0,3,149425,0
1,2,5,919,0
3,1,4,178983,1
3,2,1,161251,1
1,2,4,775,0
0,2,1,124304,1
2,1,3,150377,2
1,2,1,3291,0
1,1,2,206,0
4,1,3,12541,0
5,0,0,94239,1
3,1,5,15429,0
1,0,3,3294,1
4,1,3,1953,0
0,0,1,34634,1
2,1,4,70407,0
3,0,2,188353,1
2,1,0,52631,0
5,2,3,119286,2
0,1,2,85203,2
2,1,0,109367,2
4,1,2,10386,0
1,1,5,4186,0
1,0,3,2033,1
2,0,0,53007,1
1,1,2,1622,0
4,0,5,29198,1
0,0,0,196799,1
0,0,4,148962,1
2,0,3,15547,1
5,1,4,62846,2
4,0,1,1296,0
0,1,1,99739,1
3,1,1,99758,1
5,1,2,54068,2
0,1,5,185637,1
3,1,3,29602,0
5,1,4,25507,0
5,2,1,39641,0
2,1,0,169242,2
5,1,1,95780,2
1,1,3,710,0
2,2,1,58355,0
2,0,3,85006,1
2,2,5,138213,2
1,0,1,1310,1
0,1,1,67517,1
5,0,0,87783,1
5,0,4,107801,1
4,1,2,24394,1
0,0,2,107776,1
1,1,3,2212,0
2,0,0,181385,2
1,0,1,1910,1
0,1,0,102802,1
4,0,5,9395,1
3,1,1,136769,1
4,0,2,18735,0
1,0,5,4855,2
2,2,4,130219,2
5,2,1,116577,2
3,0,3,53055,1
2,2,0,135759,2
3,0,3,150327,1
4,2,1,6520,0
0,1,0,130474,1
5,0,0,101325,1
2,2,2,119458,2
0,0,2,176738,1
3,2,5,16386,0
3,1,4,153990,1
1,0,5,3605,1
1,0,2,4933,1
3,2,0,102189,1
4,2,0,10269,0
2,0,0,100976,2
5,0,1,11369,0
2,0,2,183978,2
5,0,5,15721,0
3,1,4,160953,1
2,1,0,63065,0
0,2,0,176357,1
5,2,3,72744,0
3,0,1,122062,1
2,1,5,115903,2
3,0,4,35933,1
3,0,1,11648,0
4,0,4,11103,0
1,1,4,4338,2
5,1,2,61498,2
3,2,5,130817,0
0,0,3,17390,0
3,1,3,124229,1
0,2,1,100258,1
1,2,5,1954,1
1,1,5,206,0
5,2,2,117709,2
2,2,1,170020,2
5,1,0,18904,0
3,0,4,185575,1
0,1,1,129675,1
1,1,5,1721,0
4,0,5,19319,0
4,2,3,3971,0
2,2,1,157105,2
5,1,4,47106,0
2,1,1,136780,0
1,0,0,308,1
5,2,0,77138,2
1,1,0,1616,0
4,0,1,7311,0
4,2,1,7336,0
3,1,1,46388,1
5,0,4,27812,0
2,1,2,90819,0
1,1,2,1697,0
1,0,2,2445,1
5,0,3,55709,1
0,0,4,43714,1
4,2,4,25985,1
3,1,0,195455,1
4,1,4,3839,0
2,1,4,94812,0
5,2,0,20578,1
1,0,0,3282,1
2,0,3,24376,1
0,2,5,61183,1
2,2,5,98472,0
3,0,3,112278,1
4,2,3,15497,0
3,0,3,137334,1
1,0,4,4023,1
1,0,1,1122,1
3,0,2,118935,1
3,1,2,135329,1
1,0,1,1445,1
4,0,1,29014,1
1,0,0,2373,1
5,1,0,43973,0
0,1,3,67767,0
5,2,2,59991,2
0,0,3,44830,0
4,2,3,21650,1
1,2,3,4606,0
1,1,4,3556,0
2,2,1,55965,0
4,2,5,26487,1
5,1,4,11161,0
4,1,5,4456,0
5,1,1,106851,2
4,0,0,27381,1
3,0,0,181722,1
4,0,1,26065,1
2,2,4,32929,0
3,0,5,195817,1
3,1,4,33568,1
1,1,2,2894,0
3,0,1,58639,1
0,2,3,93549,0
5,0,5,32998,0
0,1,3,109778,0
0,1,1,53913,1
1,1,4,1947,0
5,0,3,95772,1
0,2,0,35721,1
5,1,5,85240,2
4,0,3,21544,2
0,2,0,121131,1
1,1,3,3775,0
0,1,1,181565,1
3,0,3,100273,1
2,2,2,164337,2
5,2,5,119123,2
2,1,0,3740,0
4,0,5,6471,0
2,2,4,115188,0
5,1,2,92207,2
1,1,5,1560,0
3,1,5,142783,1
3,1,3,124462,1
4,2,4,24906,1
1,0,2,172,1
4,2,1,8816,2
0,2,3,193987,0
4,0,1,14496,0
5,1,1,8934,0
3,0,0,159224,1
2,2,5,128928,2
3,0,3,32794,1
1,2,4,1472,0
4,2,0,26047,1
3,2,1,189624,1
2,1,2,69567,0
1,2,2,4957,2
1,1,3,1332,0
2,2,3,62285,2
4,2,3,6657,0
0,0,1,54888,1
2,1,2,152057,1
0,1,5,94007,1
4,1,2,4141,0
2,2,2,107493,2
2,1,2,77085,0
2,2,5,180379,2
1,1,0,279,0
4,1,4,28688,1
5,0,1,103340,1
1,2,2,2799,2
2,0,3,55442,1
2,1,0,195303,2
5,2,4,33228,0
1,1,5,1246,0
1,1,4,4654,0
2,0,5,73686,1
1,1,1,439,0
4,2,2,4193,0
4,2,3,24820,1
3,1,2,45855,1
0,2,1,64257,1
1,1,3,1207,0
1,1,0,908,0
3,1,1,5524,0
1,1,1,1530,0
2,0,3,108007,2
1,0,3,113,2
3,0,1,70194,1
3,2,3,22271,2
0,1,5,121842,1
5,2,4,41840,0
3,0,5,101891,1
2,1,0,84964,0
4,0,0,25144,1
1,0,0,3411,1
1,2,5,661,0
5,1,4,54957,2
5,0,4,25832,0
4,2,1,27285,1
0,1,5,93110,1
5,0,4,16580,0
4,2,0,25114,1
3,0,0,135133,1
1,2,0,548,0
1,1,3,2659,0
0,2,4,133955,1
5,0,3,78091,1
4,1,0,1704,0
3,2,4,120509,1
4,0,4,29041,1
0,1,4,169353,1
2,1,2,142654,2
5,1,5,110002,2
5,1,0,107250,2
5,1,0,55302,2
1,2,4,549,1
0,1,2,165628,1
5,1,5,36104,0
1,1,0,569,0
4,1,5,3590,0
1,2,2,235,0
2,1,0,143701,2
4,1,2,1476,0
1,0,0,16,1
3,2,1,85301,1
5,2,4,19137,0
1,1,4,4948,1
2,0,2,184640,2
2,1,2,80479,0
3,0,1,55527,1
3,2,3,195512,1
2,2,2,38905,2
2,0,1,161585,2
5,1,5,96116,2
2,0,2,137621,2
0,2,0,48632,0
1,1,1,4368,1
1,0,0,426,1
4,1,0,26712,1
3,1,4,77674,1
4,0,2,16437,0
5,0,4,99148,1
4,0,5,25154,1
0,2,1,70323,1
4,0,1,3400,0
3,2,4,170345,1
3,0,1,25438,2
4,2,1,4587,0
4,2,1,21139,1
5,2,1,69466,2
5,2,2,39131,0
0,0,5,86732,1
1,1,1,498,0
0,2,5,74755,1
0,1,4,92596,1
5,0,4,37419,0
5,1,0,12618,0
5,0,2,17371,0
0,2,2,137894,1
4,2,4,29420,1
2,2,5,20363,0
3,2,5,82466,1
2,2,0,118487,2
4,0,4,9659,1
3,1,1,138473,1
0,2,0,48799,1
4,2,5,6198,0
4,0,3,28568,1
4,0,3,17592,0
0,0,0,47763,1
0,0,0,73844,1
3,1,4,191373,1
4,0,5,16716,0
0,0,3,164902,0
4,2,4,27453,1
0,1,2,90223,1
3,0,4,102539,1
2,1,5,27725,0
4,1,3,26453,1
3,0,0,184019,1
3,2,2,165221,1
3,1,5,29138,0
0,0,1,146535,1
0,2,1,135983,1
0,2,4,192118,1
2,2,2,106237,2
2,1,5,137593,2
3,0,3,104435,1
0,1,2,149167,1
1,0,0,2562,1
3,1,3,181792,1
5,2,3,48740,0
0,0,0,155286,1
5,2,1,50800,2
2,0,5,172437,2
4,0,2,25405,1
1,1,4,3512,0
0,0,3,87770,0
2,0,0,158377,2
5,1,2,58887,2
0,1,3,196142,0
3,2,0,54956,1
0,1,2,184885,1
0,2,2,135952,1
0,2,2,120200,1
0,0,3,114194,0
5,0,2,86148,1
5,1,3,19038,0
2,2,5,58082,0
1,1,0,4938,0
4,1,3,18241,2
1,0,2,4488,1
2,0,2,199846,2
0,2,5,16935,1
3,1,0,139613,1
3,2,2,122055,1
5,2,1,22902,0
3,2,1,104744,1
5,1,1,99638,2
3,1,3,119881,1
1,0,4,4289,1
3,1,4,69922,1
1,1,3,4463,0
5,1,0,78328,2
1,2,3,1902,0
1,1,5,2445,0
3,2,5,108578,1
0,0,1,29362,1
0,2,4,60778,1
4,1,5,11256,0
4,2,5,19826,0
5,1,1,87054,2
4,1,5,12330,0
0,0,5,177408,1
5,0,5,33920,0
0,2,5,171671,1
0,0,4,172903,1
5,1,1,92202,2
1,0,3,4550,1
4,1,3,17983,0
3,0,4,40243,1
0,0,1,186581,1
5,1,0,41549,0
4,2,1,20854,1
2,2,1,114051,2
4,0,1,4293,0
4,2,5,16045,0
2,0,2,108254,2
0,0,0,138033,1
2,2,1,133107,2
1,0,3,3591,1
1,1,5,1752,0
5,0,2,58525,1
3,0,0,138751,1
5,0,1,5017,0
5,1,3,26681,0
3,1,4,90092,1
1,0,1,4183,1
2,1,2,144226,2
5,2,5,85518,2
0,2,1,198972,1
5,2,3,81240,2
3,0,1,197377,1
0,1,0,39281,1
2,0,5,115743,2
1,0,5,2127,1
3,2,0,37896,1
4,1,3,12331,0
3,2,2,49638,1
1,2,2,951,0
4,0,5,9329,0
4,1,4,3360,0
3,2,1,187346,1
1,2,4,1937,0
3,1,2,131810,1
5,2,2,49163,0
5,1,3,45510,0
1,2,0,3296,0
2,1,5,163722,2
4,1,5,28518,1
5,2,4,83979,2
3,2,0,58676,1
4,2,1,26056,1
0,1,1,93170,1
4,0,0,12011,0
5,1,2,112206,2
4,1,0,25798,1
0,1,5,79668,1
5,1,4,64308,2
1,2,3,2851,0
2,1,0,148610,2
1,1,3,4137,0
4,2,0,13902,0
5,2,1,94514,2
3,2,4,25772,0
2,2,1,143750,2
2,1,1,123339,2
2,2,4,61937,0
2,0,5,143301,2
5,1,2,68205,2
4,2,0,21042,1
3,0,2,33891,1
2,0,3,194116,2
1,2,5,2401,0
0,2,0,79518,1
4,0,3,5332,0
1,0,1,3073,1
2,1,0,111529,2
4,0,4,4514,0
5,0,1,58819,1
3,1,3,171020,1
5,0,4,103706,1
1,2,5,923,0
1,0,4,4678,1
2,0,5,71668,1
2,1,4,93177,0
5,1,1,72300,0
1,2,4,1960,0
5,1,1,47051,0
3,0,5,83521,1
2,0,3,30794,1
5,0,5,73654,1
2,1,5,68819,2
0,1,0,74396,1
0,0,1,36743,1
2,2,5,103049,2
4,0,4,21282,1
2,1,3,94166,0
4,2,4,29832,1
2,0,4,179054,2
5,0,3,71529,1
3,2,2,170662,1
3,2,0,1573,0
1,1,5,2445,0
3,0,2,91714,1
0,0,5,163230,1
5,0,2,71819,1
1,1,5,1113,0
1,2,5,4741,0
3,1,4,94264,1
4,1,3,2653,0
2,1,4,33189,0
4,0,3,10836,0
1,0,1,4946,1
3,2,4,142033,1
1,0,0,3278,1
0,0,0,142725,1
4,1,3,3092,0
3,0,5,49208,1
1,0,0,263,1
3,1,0,121241,1
5,0,4,48491,0
3,1,0,141560,1
3,0,5,3646,0
3,1,0,41378,1
0,2,1,44688,1
4,2,1,5511,0
4,0,1,16760,0
1,2,4,2122,0
0,2,5,106259,1
0,2,3,87183,0
0,1,3,142318,0
4,1,3,22402,1
1,1,5,2530,0
0,0,0,77701,1
4,2,5,3628,0
1,1,2,3447,0
3,0,1,18597,1
1,0,3,406,1
2,0,4,43203,1
0,1,2,77718,1
5,1,0,82964,2
2,1,1,73322,0
5,1,2,86295,2
1,1,3,1593,0
2,2,1,131316,2
3,0,1,128233,1
4,2,1,3993,0
3,2,2,14129,0
0,2,4,142286,1
4,2,3,23092,1
3,1,1,87672,1
2,2,1,197547,2
1,0,2,669,1
4,0,4,29112,1
2,2,2,108529,2
0,1,0,68645,1
1,2,2,3566,0
4,1,1,6462,0
2,1,1,37056,0
1,1,5,2832,0
5,2,1,23550,0
2,2,4,93723,0
5,1,4,77307,2
3,2,2,1077,0
1,1,5,2076,0
0,0,1,161920,1
2,2,4,19529,0
4,2,4,22716,1
1,2,1,2520,0
5,1,0,91547,2
2,1,2,135375,2
1,2,1,4044,0
1,0,2,3620,1
0,1,1,117290,1
4,1,0,11795,0
5,0,1,117347,1
2,0,1,120317,2
5,2,1,8576,0
4,2,5,8251,0
4,1,5,21139,1
1,2,4,4160,0
4,0,4,20287,1
1,1,3,3445,0
5,2,3,94359,2
1,2,5,2833,0
2,2,4,148034,2
1,1,1,4087,0
5,0,0,56152,1
2,1,1,107423,2
0,2,0,58127,1
4,0,2,9296,0
5,1,2,102278,2
4,0,2,3703,0
4,1,5,15832,0
2,1,2,193230,2
4,1,2,13392,0
2,1,2,163024,2
5,1,2,30548,0
1,0,1,902,1
5,2,4,57310,2
2,2,5,1060,0
5,0,5,63260,1
5,0,4,75580,1
3,2,1,130559,1
4,0,1,25970,1
0,0,3,91088,0
5,1,0,60846,2
1,0,5,2656,1
2,0,1,138766,2
2,0,5,84567,1
1,0,1,795,1
3,0,5,22663,0
5,0,3,54762,1
5,1,0,92054,2
5,0,2,111067,1
4,1,5,28976,1
3,2,5,18402,0
1,1,4,40,0
3,2,2,102747,1
2,0,0,155921,2
3,2,2,21067,0
2,0,1,9413,0
0,0,3,116143,0
3,1,0,165064,1
0,2,2,124539,1
2,0,0,86814,1
4,1,3,13166,0
5,1,4,109388,2
3,2,5,38739,1
1,1,2,2521,0
2,0,2,7019,0
5,2,0,95499,2
2,0,5,68086,1
0,0,2,83526,0
1,1,0,4553,0
3,1,4,41568,1
5,2,3,44513,0
3,2,4,164656,1
1,0,2,3398,1
4,1,1,28484,0
4,0,4,10090,0
4,2,1,12157,0
4,2,5,3775,1
1,1,5,1432,0
2,1,4,8671,0
4,1,0,28035,1
3,0,3,154043,1
1,1,2,2028,0
4,1,2,7650,0
4,0,3,19887,0
1,0,0,4,1
3,1,5,56225,1
0,0,4,32245,1
1,1,5,3950,0
3,2,5,94532,1
4,2,3,22404,1
2,2,5,136771,2
1,1,3,16,0
5,1,5,13274,1
5,0,1,32967,0
4,2,4,25425,1
4,2,3,27645,1
4,0,0,20813,1
0,0,2,103264,1
1,0,1,4778,1
3,0,0,138369,1
0,1,0,110007,1
1,1,1,4359,0
5,2,5,12629,0
5,1,5,75549,2
0,2,5,40301,1
2,2,4,155066,2
1,1,3,4836,0
0,1,5,160459,1
3,2,5,94820,1
0,1,5,66067,1
1,0,4,2388,1
5,0,2,85630,0
4,1,0,9562,0
4,1,0,7036,0
3,1,2,195017,1
5,2,4,5983,0
2,0,4,148530,2
4,2,1,6520,0
2,1,1,159716,2
1,0,0,440,1
0,0,3,36220,0
2,1,2,129230,2
4,0,1,1204,0
3,1,3,3534,0
5,0,5,109940,1
1,2,1,911,0
3,2,3,133814,1
5,2,4,24583,1
3,2,3,94637,1
2,2,0,84927,0
4,1,2,11156,0
5,0,4,29425,0
0,2,0,155034,1
1,1,1,1371,0
3,1,0,113031,1
1,0,2,3477,1
4,0,4,10785,0
1,1,3,4819,0
4,2,4,22198,1
5,0,4,33034,0
3,0,1,85641,1
4,2,3,2904,0
0,1,3,57456,0
3,2,1,199647,1
5,1,3,101127,2
4,1,1,5243,0
3,2,3,183741,1
4,2,2,25137,1
4,1,3,2709,0
4,0,4,4349,0
5,1,5,33441,0
3,0,0,186751,1
1,2,3,436,0
1,2,3,4562,0
1,2,5,4922,0
4,0,2,6804,0
2,0,5,197379,2
4,0,5,16063,0
5,1,3,73521,2
2,0,4,121087,2
3,1,1,155241,1
4,0,2,28713,1
3,2,5,173221,1
5,1,4,89211,2
4,1,0,5634,0
2,2,3,151514,2
4,1,4,6138,0
3,1,4,46432,1
1,2,1,2886,0
1,1,4,1638,0
5,0,2,27594,0
4,2,4,29287,1
3,0,5,135833,1
0,2,4,79267,1
4,2,5,6968,0
5,0,3,83987,1
5,1,4,15895,0
5,0,2,57613,1
3,1,3,113094,1
4,2,2,15449,0
3,1,4,72221,1
4,0,1,13113,0
0,0,3,163908,0
2,1,2,5246,0
4,0,1,3660,0
0,2,5,186200,1
5,2,4,19231,0
1,1,3,2604,0
3,1,4,96626,1
0,1,3,150206,0
0,0,5,197988,1
1,0,5,3326,1
4,0,0,26699,1
3,0,4,151108,1
4,2,3,2935,0
0,1,1,117295,1
1,1,2,2086,0
1,0,2,4845,1
5,1,3,31745,0
0,2,1,74994,1
1,1,5,2138,0
1,2,4,324,0
0,2,4,91896,1
5,1,3,106622,2
1,2,0,1354,0
0,0,2,186013,1
5,1,0,102442,2
4,1,1,24813,1
2,0,4,40661,1
0,0,2,144729,1
4,0,1,3921,0
1,1,4,2420,0
4,2,2,28475,1
0,1,1,110935,1
1,2,4,811,0
0,0,0,90354,1
5,2,2,26152,0
0,0,2,112433,2
3,1,0,151247,1
2,1,2,112534,2
3,0,2,98247,0
2,0,3,39453,1
2,1,1,94011,0
1,2,2,3841,0
3,0,0,43418,2
1,1,4,4354,0
3,1,4,62236,1
2,1,2,71648,0
2,2,2,68718,0
1,2,3,2434,0
3,2,4,31381,1
0,1,0,39190,1
5,0,3,116142,1
4,1,2,27184,1
